"","i","t","fid","lw"
"86",9,6,289,0.160556809469521
"87",9,7,289,0.66772970341089
"88",9,8,289,0.270096798647468
"89",9,9,289,0.384983246060794
"90",9,10,289,0.358681536224894
"91",10,1,10,0.0390864427219031
"92",10,2,10,0.0172204640364699
"93",10,3,602,-0.168462479902117
"94",10,4,602,-0.423818080050851
"95",10,5,602,-0.114551521863903
"96",10,6,644,-0.153819960142532
"97",10,7,644,-0.176854611127678
"98",10,8,644,-0.82018493554795
"99",10,9,303,-1.37423001269167
"100",10,10,303,-1.0827498510706
"101",11,1,11,-1.73720433469936
"102",11,2,11,-1.22065989136416
"103",11,3,11,-1.69007980542114
"104",11,4,11,-1.24969225862971
"105",11,5,11,-1.42915844685085
"106",11,6,11,-1.34661030657662
"107",11,7,11,-1.44857260474446
"108",11,8,11,-1.3473364112583
"109",11,9,11,-1.59484323599334
"110",11,10,11,-1.25163998428217
"111",12,1,12,-0.104675953166136
"112",12,2,12,-0.184789801835706
"113",12,3,12,-0.242163832404237
"114",12,4,12,-0.126289010540317
"115",12,5,12,-0.0628909232374835
"116",12,6,12,0.490403082398034
"117",12,7,12,0.236318542976826
"118",12,8,12,-0.324989780773016
"119",12,9,12,0.078022647579534
"120",12,10,12,0.234323073782492
"121",13,1,13,1.08160353266938
"122",13,2,13,1.36930993251933
"123",13,3,13,1.34297761641266
"124",13,4,13,1.82697443838037
"125",13,5,13,1.70956367427287
"126",13,6,13,1.29873114241242
"127",13,7,13,1.25834004976117
"128",13,8,13,1.38660247343227
"129",13,9,395,0.836981746590136
"130",13,10,191,2.3202672151704
"131",14,1,14,0.992901126774804
"132",14,2,14,1.15666225907744
"133",14,3,14,0.853364378475326
"134",14,4,14,0.41812613957072
"135",14,5,14,0.798007021537797
"136",14,6,14,0.526954055716455
"137",14,7,14,0.79605831538954
"138",14,8,14,0.620991070191438
"139",14,9,299,1.2152498774013
"140",14,10,600,0.998357289831125
"141",15,1,15,-2.1044982646368
"142",15,2,15,-1.64307489991117
"143",15,3,15,-1.96105073615921
"144",15,4,15,-2.05428489099093
"145",15,5,15,-1.46758356887229
"146",15,6,15,-1.88291291248413
"147",15,7,15,-1.83386236208815
"148",15,8,15,-2.24249679135366
"149",15,9,15,-2.3823766805438
"150",15,10,15,-2.15449803751378
"151",16,1,16,0.726610773397694
"152",16,2,16,0.945048838061615
"153",16,3,16,0.869824028388448
"154",16,4,16,0.761782145197497
"155",16,5,16,0.62117159171531
"156",16,6,16,0.729427731206558
"157",16,7,16,0.770792388677439
"158",16,8,16,0.691498342752965
"159",16,9,16,0.894241020048805
"160",16,10,16,0.662848746077001
"161",17,1,17,0.572437821186857
"162",17,2,17,0.405030441835652
"163",17,3,17,0.0657952745044003
"164",17,4,17,0.477474520334206
"165",17,5,17,0.553629440336144
"166",17,6,541,0.720309416565852
"167",17,7,320,0.8862512830692
"168",17,8,320,0.933768586400719
"169",17,9,320,0.307672345922163
"170",17,10,320,0.949260446732271
"171",18,1,18,1.09592129486747
"172",18,2,18,1.05668183641786
"173",18,3,18,0.951195850874927
"174",18,4,18,1.12727197541096
"175",18,5,18,0.631947335291467
"176",18,6,18,0.663930294252967
"177",18,7,18,1.00261866115649
"178",18,8,18,1.21728600671115
"179",18,9,18,0.909761952904897
"180",18,10,18,1.04034083585283
"181",19,1,19,-1.78439102004593
"182",19,2,19,-1.66155381553228
"183",19,3,19,-1.84779647522948
"184",19,4,19,-1.97328466496651
"185",19,5,19,-1.68886750469576
"186",19,6,19,-1.82255421735493
"187",19,7,19,-1.75773527700615
"188",19,8,19,-1.63366403911158
"189",19,9,19,-2.02124720987346
"190",19,10,19,-2.01615452882508
"191",20,1,20,2.4460258560996
"192",20,2,20,2.27013985060471
"193",20,3,20,2.63789409395095
"194",20,4,20,2.68983712944561
"195",20,5,20,2.16932122531607
"196",20,6,20,2.0826745534408
"197",20,7,20,2.68705420758154
"198",20,8,20,2.52893118526837
"199",20,9,20,2.31890959451497
"200",20,10,20,2.11947071473457
"201",21,1,21,0.659159626558658
"202",21,2,21,0.737182518203092
"203",21,3,619,-0.244612028117465
"204",21,4,619,-0.153992872544448
"205",21,5,619,-0.351356613564825
"206",21,6,619,-0.369104773244155
"207",21,7,619,-0.219421623571201
"208",21,8,619,-0.00619548098227071
"209",21,9,619,-0.0318628401380055
"210",21,10,619,0.0813119814657638
"211",22,1,22,2.49489627095843
"212",22,2,22,2.50241166808754
"213",22,3,22,2.57825842619078
"214",22,4,22,2.10342708390281
"215",22,5,22,2.46958283046451
"216",22,6,22,2.76139892374728
"217",22,7,22,2.47675476711805
"218",22,8,22,2.49857397066042
"219",22,9,22,2.64230314291483
"220",22,10,630,1.57623679126908
"221",23,1,23,0.981710388271285
"222",23,2,23,0.785571306600617
"223",23,3,23,0.974979345576059
"224",23,4,23,0.870831905659176
"225",23,5,23,0.969361019017975
"226",23,6,23,1.12261871705967
"227",23,7,23,0.823849380608384
"228",23,8,23,1.03918225536193
"229",23,9,23,0.967215390698004
"230",23,10,23,1.10462831393952
"231",24,1,24,-1.33898376417017
"232",24,2,24,-1.59787535742748
"233",24,3,24,-1.4060545602449
"234",24,4,24,-1.20143818765835
"235",24,5,24,-1.10080922773604
"236",24,6,188,-1.30808321993936
"237",24,7,188,-1.77229419475449
"238",24,8,188,-1.65644528002251
"239",24,9,286,-1.11544401262296
"240",24,10,402,-0.877338395898741
"241",25,1,25,2.59944264270899
"242",25,2,25,2.23290034844255
"243",25,3,25,2.48233878284864
"244",25,4,25,2.78708528091263
"245",25,5,25,2.65779401058593
"246",25,6,25,2.39764206415867
"247",25,7,25,2.26523002976962
"248",25,8,25,2.15214333031815
"249",25,9,25,2.46055756916855
"250",25,10,25,2.48201219450248
"251",26,1,26,-1.15903476760866
"252",26,2,26,-0.937374099440846
"253",26,3,531,-0.659684647355606
"254",26,4,531,-0.621682009298661
"255",26,5,531,-0.547203421581824
"256",26,6,531,-0.577760834365814
"257",26,7,531,-0.72460874005196
"258",26,8,531,-0.629093563296569
"259",26,9,531,-0.341616568423387
"260",26,10,531,-0.699761010655827
"261",27,1,27,0.3813438417823
"262",27,2,27,0.324397596000151
"263",27,3,27,-0.111749391077118
"264",27,4,27,0.288308296588985
"265",27,5,27,0.38848086185876
"266",27,6,27,0.290739001854249
"267",27,7,597,1.71128146719413
"268",27,8,597,2.00200950846414
"269",27,9,597,1.73687161042746
"270",27,10,597,1.37408535911253
"271",28,1,28,0.173969087524173
"272",28,2,295,0.426178769411214
"273",28,3,295,0.460932433376617
"274",28,4,619,0.00940014182849652
"275",28,5,619,-0.388216363105898
"276",28,6,619,-0.49938233865506
"277",28,7,619,-0.567235574247813
"278",28,8,619,-0.227262008984831
"279",28,9,619,-0.370064971889349
"280",28,10,12,-0.187817444495508
"281",29,1,29,-0.0671168164157015
"282",29,2,29,0.100121119475798
"283",29,3,29,-0.11262247190744
"284",29,4,29,0.139247056104426
"285",29,5,29,0.407629232787279
"286",29,6,29,-0.148192938968171
"287",29,7,29,0.0217288336339595
"288",29,8,29,0.0277721885870277
"289",29,9,29,0.00363224866076693
"290",29,10,29,0.265310160611537
"291",30,1,30,-1.01927463632457
"292",30,2,30,-0.98542439255645
"293",30,3,30,-1.27284902600446
"294",30,4,30,-0.851080554198008
"295",30,5,30,-1.36705248999141
"296",30,6,30,-0.994645874959948
"297",30,7,30,-1.01873013413117
"298",30,8,30,-1.25012198131663
"299",30,9,30,-1.48638423594434
"300",30,10,30,-0.893645788485063
"301",31,1,31,1.0736046554546
"302",31,2,31,0.644021774025525
"303",31,3,31,1.13935427954669
"304",31,4,31,1.0569976809623
"305",31,5,31,1.20118330126645
"306",31,6,31,1.08458201613044
"307",31,7,31,0.944135080739764
"308",31,8,31,1.2725576923921
"309",31,9,31,1.26685947549489
"310",31,10,31,0.85361590925514
"311",32,1,32,-1.88320418787368
"312",32,2,32,-1.58833654389565
"313",32,3,32,-1.72620193229853
"314",32,4,32,-1.8312679086942
"315",32,5,32,-1.61076567698496
"316",32,6,633,-1.1548584270681
"317",32,7,633,-1.1166128065738
"318",32,8,633,-0.731942236779377
"319",32,9,633,-0.716672566445689
"320",32,10,633,-1.23406223098508
"321",33,1,33,0.0737636319140655
"322",33,2,33,-0.102463781527341
"323",33,3,33,-0.380619947584054
"324",33,4,33,-0.422703142273919
"325",33,5,33,-0.0302290760584857
"326",33,6,33,0.0722641713553154
"327",33,7,33,0.0114751542060405
"328",33,8,33,0.217656961030938
"329",33,9,125,-0.309968313008544
"330",33,10,125,-0.130734574372976
"331",34,1,34,1.03706435259716
"332",34,2,34,0.740297540219091
"333",34,3,34,0.465022288818886
"334",34,4,34,0.903971917535654
"335",34,5,34,0.959594025420344
"336",34,6,34,1.14646377610553
"337",34,7,34,1.32912431714884
"338",34,8,34,1.12113322621192
"339",34,9,34,1.12481030184503
"340",34,10,34,0.988180023195049
"341",35,1,9,1.87595795290502
"342",35,2,9,1.73670633657282
"343",35,3,9,1.80771630740353
"344",35,4,9,2.16152066542862
"345",35,5,9,1.78577322951963
"346",35,6,198,1.53547524181758
"347",35,7,198,1.73415589762191
"348",35,8,198,1.48555011559206
"349",35,9,198,1.51776839997882
"350",35,10,198,1.38341870297785
"351",36,1,35,-1.3992042895959
"352",36,2,35,-1.5976059746701
"353",36,3,35,-1.58233291866622
"354",36,4,35,-1.29208329252041
"355",36,5,35,-1.75143497503841
"356",36,6,35,-1.68297210988734
"357",36,7,35,-1.51243972511514
"358",36,8,35,-2.00264337772919
"359",36,9,35,-1.34282563230872
"360",36,10,35,-1.61452433255113
"361",37,1,36,-0.0389624251820076
"362",37,2,36,-0.175516241055524
"363",37,3,601,-0.632011617064219
"364",37,4,287,-0.498022845557637
"365",37,5,287,-0.690327395655646
"366",37,6,287,-0.758449160754243
"367",37,7,287,-0.107334835300967
"368",37,8,287,-0.578960839284834
"369",37,9,287,-0.55195388243068
"370",37,10,287,-0.563437252375874
"371",38,1,37,-0.840149134517217
"372",38,2,645,-0.983138898751958
"373",38,3,645,-0.853020329725888
"374",38,4,184,-2.36612902852037
"375",38,5,184,-2.29742837086587
"376",38,6,184,-1.86842368063993
"377",38,7,184,-1.79266730618724
"378",38,8,184,-2.29299567346401
"379",38,9,184,-2.17895604927781
"380",38,10,184,-1.89349209406475
"381",39,1,38,-2.93299347308881
"382",39,2,38,-2.55766011804856
"383",39,3,38,-2.96919244080405
"384",39,4,38,-2.54846483007354
"385",39,5,82,-2.06929745583596
"386",39,6,82,-2.1515524039503
"387",39,7,82,-2.13827203065727
"388",39,8,247,-1.17728991028539
"389",39,9,369,-2.38539835654036
"390",39,10,369,-2.22958163361202
"391",40,1,39,-0.223069919447423
"392",40,2,39,-0.375167967040388
"393",40,3,39,-0.580084725980281
"394",40,4,39,-0.521137064918271
"395",40,5,39,-0.493179554237834
"396",40,6,39,-0.221874320293863
"397",40,7,39,-0.116091394854235
"398",40,8,39,-0.23481314139759
"399",40,9,39,-0.287234050334265
"400",40,10,39,-0.221045199126159
"401",41,1,19,-1.01819924419625
"402",41,2,19,-0.788306097071701
"403",41,3,19,-0.805376937511698
"404",41,4,277,-0.465671559116008
"405",41,5,277,-0.505424903832634
"406",41,6,277,-0.299335079777188
"407",41,7,277,-0.537107668012405
"408",41,8,277,-0.360536879005984
"409",41,9,277,-0.692879178145039
"410",41,10,277,-0.361914178854849
"411",42,1,40,1.72365535171549
"412",42,2,40,1.41734174737041
"413",42,3,40,0.919247419110746
"414",42,4,40,1.24574597134264
"415",42,5,40,1.17278012862373
"416",42,6,40,1.07190433755386
"417",42,7,40,1.05114757989835
"418",42,8,40,0.743795419949546
"419",42,9,40,1.19869087456166
"420",42,10,40,1.38871304016357
"421",43,1,41,1.44000497136087
"422",43,2,41,1.05776605820287
"423",43,3,41,1.10899398280688
"424",43,4,41,1.45953480012405
"425",43,5,41,0.919702505376043
"426",43,6,41,0.986615175881313
"427",43,7,41,0.926927698161343
"428",43,8,41,1.18792696552543
"429",43,9,41,1.12135137136429
"430",43,10,41,0.92677846977819
"431",44,1,42,-0.0811005231652847
"432",44,2,42,-0.550874311581328
"433",44,3,42,-0.188800693808625
"434",44,4,42,-0.307983935642977
"435",44,5,42,-0.414879619590738
"436",44,6,42,-0.318209543495798
"437",44,7,42,-0.312150066691239
"438",44,8,42,-0.17832897645597
"439",44,9,42,-0.00636881642931614
"440",44,10,42,-0.494111015370107
"441",45,1,43,-2.43848410859182
"442",45,2,43,-1.75624748119045
"443",45,3,43,-1.69637643654683
"444",45,4,43,-1.76213481237497
"445",45,5,43,-1.78368267492793
"446",45,6,43,-1.8934526787763
"447",45,7,43,-2.36512771290755
"448",45,8,43,-2.0688297765475
"449",45,9,43,-1.73243929677081
"450",45,10,43,-1.88445237723776
"451",46,1,44,0.931689328895766
"452",46,2,44,0.515207044254572
"453",46,3,44,0.990996224441894
"454",46,4,44,0.637834485798938
"455",46,5,44,0.86982059696699
"456",46,6,44,0.831841650321608
"457",46,7,44,1.09970965024859
"458",46,8,44,1.09677208849498
"459",46,9,44,0.866156824844069
"460",46,10,44,0.772537453342598
"461",47,1,45,-1.65074310835569
"462",47,2,45,-1.69728514460751
"463",47,3,45,-1.55372319200289
"464",47,4,45,-1.78881075857906
"465",47,5,32,-2.06181716238466
"466",47,6,32,-1.64064378551621
"467",47,7,42,-1.30102138466551
"468",47,8,42,-1.0721036959657
"469",47,9,42,-1.29972421427491
"470",47,10,42,-1.22885576459799
"471",48,1,46,-1.94456071796535
"472",48,2,46,-1.8392173263308
"473",48,3,46,-1.59092446182274
"474",48,4,46,-1.93122546528827
"475",48,5,46,-1.73703533823335
"476",48,6,46,-1.93395350278706
"477",48,7,46,-1.9806847060644
"478",48,8,46,-1.41837873998605
"479",48,9,46,-1.38241860294536
"480",48,10,46,-1.73863759770542
"481",49,1,47,2.40139546356489
"482",49,2,47,2.15545272121334
"483",49,3,47,2.1101203843756
"484",49,4,47,2.30381223268463
"485",49,5,47,2.72814982738106
"486",49,6,47,2.54912287608857
"487",49,7,47,2.32958365350544
"488",49,8,47,2.45736822164725
"489",49,9,47,2.48062491312258
"490",49,10,613,2.01380199341166
"491",50,1,48,-1.03361298550292
"492",50,2,48,-1.21831185658251
"493",50,3,48,-0.953064415048162
"494",50,4,48,-1.12435689434154
"495",50,5,48,-1.07204454408672
"496",50,6,48,-0.873499393831201
"497",50,7,48,-0.995483819902223
"498",50,8,48,-1.17917697191544
"499",50,9,48,-1.05484517896185
"500",50,10,581,-0.684830315109302
"501",51,1,49,0.253358146227612
"502",51,2,49,0.200376310651997
"503",51,3,49,-0.161947665800033
"504",51,4,49,0.0976523675923697
"505",51,5,290,0.206687005202781
"506",51,6,290,0.0800565417069358
"507",51,7,290,0.154407239437388
"508",51,8,290,-0.0739154458614849
"509",51,9,290,0.296898663344715
"510",51,10,290,-0.0527757432251101
"511",52,1,50,0.100918548431575
"512",52,2,50,0.150637730539375
"513",52,3,50,0.0596429010906245
"514",52,4,50,-0.0726866195158526
"515",52,5,598,-0.0678823624120033
"516",52,6,598,0.216432689345241
"517",52,7,598,-0.0136721491104938
"518",52,8,598,0.205751080673956
"519",52,9,598,0.474345125601505
"520",52,10,598,0.0343470420100928
"521",53,1,10,0.961908627646198
"522",53,2,10,1.14045240694721
"523",53,3,10,0.919489859733034
"524",53,4,10,0.972451092084099
"525",53,5,10,0.798554629230992
"526",53,6,10,0.746911130600919
"527",53,7,10,1.09517235779392
"528",53,8,10,0.552495030771707
"529",53,9,10,0.902757094434575
"530",53,10,10,0.794327296661116
"531",54,1,51,0.275761874382793
"532",54,2,51,-0.127242068589426
"533",54,3,51,0.00243953956697411
"534",54,4,51,0.236677816332274
"535",54,5,51,0.0904844509723274
"536",54,6,51,-0.0518416241602841
"537",54,7,51,-0.0596039438892894
"538",54,8,51,0.123326952143044
"539",54,9,51,0.543233498888679
"540",54,10,51,0.0930064631816662
"541",55,1,52,-0.570475746848371
"542",55,2,52,-0.0963478885376058
"543",55,3,52,-0.624593516835661
"544",55,4,52,-0.609576551768951
"545",55,5,52,-0.628268361682249
"546",55,6,52,-0.49724311846187
"547",55,7,52,-0.680397095678035
"548",55,8,52,-0.579168415216425
"549",55,9,52,-0.707364231135311
"550",55,10,52,-0.388422699520204
"551",56,1,53,-0.491870313134422
"552",56,2,53,-0.499680664340886
"553",56,3,53,-0.504389865660943
"554",56,4,53,-0.548842141227095
"555",56,5,349,-0.626023800522207
"556",56,6,349,-0.860021439650154
"557",56,7,349,-0.639602075451195
"558",56,8,349,-0.715579306297796
"559",56,9,349,-0.465956602603553
"560",56,10,349,-0.851871540476769
"561",57,1,54,2.19355082523091
"562",57,2,54,2.37442231888822
"563",57,3,54,2.56214434102545
"564",57,4,54,2.05682251324778
"565",57,5,54,2.2493936604243
"566",57,6,54,2.28297444643404
"567",57,7,54,2.53972257795557
"568",57,8,119,2.28203791233486
"569",57,9,119,2.43364692184854
"570",57,10,119,2.14358018114846
"571",58,1,55,0.0546037452092933
"572",58,2,55,-0.346692049401093
"573",58,3,55,-0.281474644635188
"574",58,4,55,-0.310717898941395
"575",58,5,55,-0.231744520729131
"576",58,6,55,0.178037051820631
"577",58,7,55,0.0488798052893066
"578",58,8,55,-0.332996541898047
"579",58,9,55,-0.582091478787268
"580",58,10,55,-0.27494735840497
"581",59,1,4,1.70254484064917
"582",59,2,4,1.67712115918096
"583",59,3,4,1.22607485005695
"584",59,4,4,1.27898991849857
"585",59,5,4,1.79593099074614
"586",59,6,4,1.41037016827333
"587",59,7,4,1.77306772900973
"588",59,8,4,1.54633868440308
"589",59,9,4,1.48258779301142
"590",59,10,4,1.08656464892458
"591",60,1,56,-1.01132611146678
"592",60,2,56,-1.33044295147628
"593",60,3,561,-1.6549616203146
"594",60,4,561,-1.78605020053079
"595",60,5,561,-1.42200967422722
"596",60,6,561,-1.83261918778646
"597",60,7,561,-1.48134767991678
"598",60,8,561,-1.86324904651378
"599",60,9,561,-1.70288610136555
"600",60,10,561,-1.61799421788085
"601",61,1,57,1.17656046619864
"602",61,2,57,0.908977023499172
"603",61,3,57,1.28078863386014
"604",61,4,57,1.50316236557629
"605",61,5,57,1.18185585353556
"606",61,6,57,0.816558393176969
"607",61,7,57,1.13560597451947
"608",61,8,57,0.837044340510849
"609",61,9,57,0.801472813522588
"610",61,10,57,0.875621017828856
"611",62,1,58,-1.58439686046852
"612",62,2,58,-1.60330853362003
"613",62,3,58,-1.38618684220012
"614",62,4,58,-1.49925965293419
"615",62,5,58,-1.28922960252879
"616",62,6,58,-1.73642856320802
"617",62,7,58,-1.80388401480453
"618",62,8,58,-1.6231086409133
"619",62,9,58,-1.68385801050463
"620",62,10,58,-1.72882461305954
"621",63,1,59,-1.09439144507699
"622",63,2,59,-0.969707784707783
"623",63,3,59,-1.01388336524665
"624",63,4,59,-1.57816408063293
"625",63,5,59,-1.59873551019519
"626",63,6,59,-1.56028639454736
"627",63,7,59,-1.33039276740588
"628",63,8,59,-1.2227540694141
"629",63,9,103,-0.76641098457434
"630",63,10,103,-0.910074100981736
"631",64,1,60,-0.738236811030346
"632",64,2,60,-0.723673708166796
"633",64,3,60,-0.994711970821117
"634",64,4,60,-0.570065980712634
"635",64,5,60,-0.976559249961324
"636",64,6,60,-0.554260333140298
"637",64,7,60,-0.737780241614418
"638",64,8,60,-0.633111662974999
"639",64,9,60,-0.619378875245373
"640",64,10,60,-0.691889707070983
"641",65,1,61,0.100051440617997
"642",65,2,61,0.409582887336476
"643",65,3,61,0.0848829504094658
"644",65,4,61,0.138326288574367
"645",65,5,61,0.361038818679912
"646",65,6,263,-0.616503690253029
"647",65,7,263,-0.609474569608272
"648",65,8,263,-0.586009779629729
"649",65,9,263,-0.60615494345073
"650",65,10,263,-0.870153239334375
"651",66,1,62,1.69056707366085
"652",66,2,62,1.98741168023974
"653",66,3,467,1.88522090271144
"654",66,4,467,1.98339806209212
"655",66,5,467,1.53732969856225
"656",66,6,467,1.7875746850633
"657",66,7,467,1.99297853590833
"658",66,8,467,1.75644450037673
"659",66,9,380,1.90335933221908
"660",66,10,380,1.67986639300893
"661",67,1,63,-0.495041466988396
"662",67,2,63,-0.334260394068659
"663",67,3,63,-0.0245100523889801
"664",67,4,63,-0.67805903248634
"665",67,5,63,-0.462096144062909
"666",67,6,63,-0.258396804175825
"667",67,7,63,-0.461775425975045
"668",67,8,48,0.235020105915941
"669",67,9,48,-0.17514661795466
"670",67,10,48,-0.123575969293146
"671",68,1,64,-0.599894169717359
"672",68,2,64,-0.520743085455689
"673",68,3,64,-0.818205620988177
"674",68,4,64,-0.374803421782383
"675",68,5,64,-0.495427285559487
"676",68,6,344,-0.417300970299174
"677",68,7,344,-0.143292654735022
"678",68,8,344,-0.310036283517787
"679",68,9,344,-0.212482532372751
"680",68,10,344,-0.223560733953257
"681",69,1,41,0.415413826192264
"682",69,2,41,0.680376891398986
"683",69,3,41,0.59693785578598
"684",69,4,270,0.316067821524687
"685",69,5,270,0.583735987289322
"686",69,6,270,0.31772112773527
"687",69,7,270,0.5550551589507
"688",69,8,270,0.139515363169121
"689",69,9,645,0.0739808416976612
"690",69,10,645,-0.0571439625656907
"691",70,1,65,0.0116239239496093
"692",70,2,65,-0.120264847457502
"693",70,3,65,0.233756873637673
"694",70,4,65,0.0270110169033336
"695",70,5,65,0.299214336294969
"696",70,6,65,0.18777871459657
"697",70,7,65,-0.159636633847567
"698",70,8,65,0.0371760315155593
"699",70,9,65,-0.0237866145227785
"700",70,10,65,0.223163041065455
"701",71,1,66,-1.5004239997833
"702",71,2,66,-1.01384624734931
"703",71,3,66,-1.71770332363183
"704",71,4,66,-1.30411569600734
"705",71,5,66,-0.997380571606626
"706",71,6,66,-1.47359964601784
"707",71,7,66,-1.35545410324986
"708",71,8,66,-1.60630803080298
"709",71,9,66,-0.867060596044314
"710",71,10,66,-1.49105482901946
"711",72,1,67,-1.56056347765525
"712",72,2,67,-1.55733308013065
"713",72,3,67,-1.48602866460346
"714",72,4,67,-1.731667310867
"715",72,5,67,-1.73147910293237
"716",72,6,67,-1.65499044466559
"717",72,7,67,-1.84506454945102
"718",72,8,67,-1.70463847037568
"719",72,9,67,-1.72984463005654
"720",72,10,67,-1.39915129765286
"721",73,1,68,-1.20461559051077
"722",73,2,68,-1.29894329750823
"723",73,3,68,-0.975608826869502
"724",73,4,68,-1.15887944316549
"725",73,5,68,-0.980650479317496
"726",73,6,68,-1.19981556624442
"727",73,7,68,-1.13867002663218
"728",73,8,231,-1.07267255316871
"729",73,9,231,-0.960173142446308
"730",73,10,231,-1.16608184069078
"731",74,1,69,0.199116500923897
"732",74,2,599,0.374359805390862
"733",74,3,599,0.857075214278074
"734",74,4,599,0.147342074704438
"735",74,5,599,-0.00320073550958688
"736",74,6,599,0.106998848223427
"737",74,7,599,-0.0677506999155187
"738",74,8,599,0.212222504163686
"739",74,9,599,0.238183851611057
"740",74,10,599,0.357675946519647
"741",75,1,70,0.239056862608056
"742",75,2,70,-0.0932876321644909
"743",75,3,70,-0.347886405487169
"744",75,4,70,-0.0916131488428099
"745",75,5,70,0.148768560487712
"746",75,6,70,0.192816215645203
"747",75,7,70,-0.335477178273898
"748",75,8,70,-0.348580199115431
"749",75,9,70,0.111140057006662
"750",75,10,70,-0.129543039465288
"751",76,1,71,1.69716006926054
"752",76,2,71,1.61076519693051
"753",76,3,71,1.84191331776225
"754",76,4,618,1.25151932338297
"755",76,5,618,0.876364738946999
"756",76,6,618,1.78022717988951
"757",76,7,618,1.08067496045312
"758",76,8,618,1.28815797327077
"759",76,9,618,1.47020067922575
"760",76,10,618,0.78111966016805
"761",77,1,72,0.914911111377975
"762",77,2,72,1.07619276243609
"763",77,3,72,1.12109377606149
"764",77,4,72,1.294619035268
"765",77,5,72,1.0875750942601
"766",77,6,72,0.663061502198985
"767",77,7,72,0.930119095515467
"768",77,8,72,0.829147607852235
"769",77,9,72,1.1304462750233
"770",77,10,72,0.509720557722301
"771",78,1,73,1.16739239385262
"772",78,2,73,1.27608880362622
"773",78,3,73,1.13202766160482
"774",78,4,73,1.78882466494375
"775",78,5,73,1.48765828589515
"776",78,6,73,1.83021851851545
"777",78,7,73,1.5437524765573
"778",78,8,73,1.1373001035373
"779",78,9,73,0.980244469822632
"780",78,10,73,1.09679290215767
"781",79,1,74,0.235863100061813
"782",79,2,74,-0.0164672961516067
"783",79,3,74,0.255408607180389
"784",79,4,74,0.2718419958345
"785",79,5,74,0.0288911526231536
"786",79,6,74,0.31053803154014
"787",79,7,74,0.121682031403473
"788",79,8,115,-0.431149103995037
"789",79,9,115,-0.540929385913821
"790",79,10,115,-0.449147345823428
"791",80,1,75,-1.45389643356403
"792",80,2,75,-1.79039675202761
"793",80,3,75,-1.56425558111131
"794",80,4,75,-0.914305314325309
